,0
10656,"303669,10617,8608,297433,311158,24599,11728,232438,210283,9062,47623,18675,310519,19296,20431,18655,9310,21650,10772"
19296,"303669,10617,8608,297433,247235,311158,24599,11728,232438,210283,11718,297635,9062,18632,21646,47623,18675,19264,310519,10656,20431,18655,9310,297499,21650,20387,18389,21431,24598,10772,10582,14054,12856,20187,23911,20123,8845,270253,22182,14236,16281,15501,21585,17944,19346,22144,9117,13368,15555"
20431,"303669,10617,8608,297433,247235,311158,11728,210283,11718,297635,9062,18632,21646,47623,18675,10656,19296,18655,9310,297499,21650,20387,18389,21431,24598,10772,10582,14054,12856,20187,23911,20123,8845"
18655,"303669,10617,8608,297433,311158,11728,210283,11718,9062,18632,47623,18675,19264,10656,19296,20431,9310,21650,20387,24598,10772,10582,14054,12856,20187,23911,20123,8845,270253,22182,14236,16281,15501,21585,17944,19346,22144,9117"
9310,"303669,10617,8608,297433,311158,11728,210283,11718,297635,9062,18632,21646,47623,18675,10656,19296,20431,18655,21650,20387,18389,24598,10772,10582"
297499,"303669,10617,8608,247235,11728,9062,47623,18675,19296,20431"
21650,"303669,10617,8608,11728,210283,9062,47623,18675,10656,19296,20431,18655,9310,20387,24598,10772,20187,22182"
20387,"10617,8608,297433,11728,9042,210283,297635,9062,18632,47623,18675,19264,19296,20431,18655,9310,21650,18389,21431,24598,10772,10582,14054,12856,20187,23911,20123,8845,270253,22182,14236,16281,15501,21585,17944,19346,22144,9117,13368,15555,15876,21537,9327,14325,20040"
18389,"10617,8608,297433,11728,210283,9062,47623,18675,19296,20431,9310,20387,10772,10582,14054,12856"
21431,"8608,11728,210283,9062,47623,18675,19296,20431,20387,24598"
24598,"10617,8608,11728,210283,9062,47623,18675,19296,20431,18655,9310,21650,20387,21431,10772,10582"
10772,"10617,8608,11728,9042,210283,9062,21646,47623,18675,19264,10656,19296,20431,18655,9310,21650,20387,18389,24598,10582,14054,12856,20187,23911,20123,8845,22182,14236,16281,15501,21585,17944,19346,22144,9117,13368,21537,9327,14325,15522,15901"
10582,"10617,8608,11728,9062,47623,18675,19296,20431,18655,9310,20387,18389,24598,10772,14054,12856,20187,20123,8845,22182,14236"
14054,"10617,8608,11728,9042,9062,47623,18675,19264,19296,20431,18655,20387,18389,10772,10582,12856,20187,20123,8845,22182,14236,15501,21585,17944,19346,22144,9117,13368,15555,15876,21537,9327,14325,20040,15522,15901,11724,20242,9089,20372,16975,13411,10816,10870,22403,21607,10633,11848,20193,12877"
12856,"10617,8608,11728,9042,9062,47623,18675,19264,19296,20431,18655,20387,18389,10772,10582,14054,20187,20123,8845,270253,22182,14236,16281,15501,21585,17944,19346,22144,9117,13368,15555,15876,21537,9327,14325,20040,15522,15901,8476,20242,9089,20372,16975,13411,10816,10870,22403,21607,10633,11848,20193,12877,18265,19323,21611,8579,17121,15913,10881,14187,20051,20073,13362,14020,8487,16876,12909"
20187,"10617,8608,11728,9062,47623,18675,19264,19296,20431,18655,21650,20387,10772,10582,14054,12856,20123,8845,22182,14236,21585,21537,14325,20372,13411,10816,10633,8579,22301"
23911,"10617,8608,11728,18675,19296,20431,18655,20387,10772,20123"
20123,"10617,8608,11728,9062,18675,19264,19296,20431,18655,20387,10772,10582,14054,12856,20187,23911,8845,14236,15501,22144"
8845,"10617,8608,11728,9062,19296,20431,18655,20387,10772,10582,14054,12856,20187,20123,270253,22182,14236"
270253,"10617,8608,11728,9062,19296,18655,20387,12856,8845,22182"
