,0
47623,"308967,288992,8917,232438,311158,247235,297499,303669,11718,297635,297433,18632,21431,24598,21646,210283,10656,18389,9310,20431,10617,10582,21650,18675,18655,11728,19296,9062,20387,10772,8608,14054,20187,12856"
18389,"297433,210283,47623,9310,20431,10617,10582,18675,11728,19296,9062,20387,10772,8608,14054,12856"
9310,"311158,303669,11718,297635,297433,18632,24598,21646,210283,10656,47623,18389,20431,10617,10582,21650,18675,18655,11728,19296,9062,20387,10772,8608"
23911,"20431,10617,18675,20123,18655,11728,19296,20387,10772,8608"
20431,"311158,247235,297499,303669,11718,297635,297433,18632,21431,24598,21646,210283,10656,47623,18389,9310,23911,8845,10617,10582,21650,18675,20123,18655,11728,19296,9062,20387,10772,8608,14054,20187,12856"
270253,"8845,10617,18655,11728,19296,9062,20387,8608,22182,12856"
8845,"20431,270253,10617,10582,20123,18655,11728,19296,9062,20387,10772,8608,14054,20187,14236,22182,12856"
10617,"527776,747031,641423,665053,519082,669855,457279,298438,12454,364788,398778,887207,662973,646847,455524,660889,550235,464626,229954,214265,370535,236489,211855,440780,632172,349853,521637,414990,296597,249866,244497,351588,251721,308967,272485,288992,8917,24599,310519,232438,311158,247235,297499,303669,11718,297635,297433,18632,24598,21646,210283,10656,47623,18389,9310,23911,20431,270253,8845,10582,21650,18675,20123,18655,11728,19264,19296,9062,20387,10772,9042,8608,14054,20187,22182,12856"
10582,"24598,47623,18389,9310,20431,8845,10617,18675,20123,18655,11728,19296,9062,20387,10772,8608,14054,20187,14236,22182,12856"
21650,"303669,24598,210283,10656,47623,9310,20431,10617,18675,18655,11728,19296,9062,20387,10772,8608,20187,22182"
18675,"272485,288992,8917,232438,311158,247235,297499,303669,11718,297635,297433,18632,21431,24598,21646,210283,10656,47623,18389,9310,23911,20431,10617,10582,21650,20123,18655,11728,19264,19296,9062,20387,10772,8608,14054,20187,14236,22182,12856"
16281,"18655,11728,19264,19296,20387,15501,10772,21585,14236,12856"
17944,"18655,11728,19264,19296,9062,20387,15501,10772,8608,14054,21585,14236,19346,12856"
20123,"23911,20431,8845,10617,10582,18675,18655,11728,19264,22144,19296,9062,20387,15501,10772,8608,14054,20187,14236,12856"
18655,"311158,303669,11718,297433,18632,24598,210283,10656,47623,9310,23911,20431,270253,8845,10617,10582,21650,18675,16281,17944,20123,11728,9117,19264,22144,19296,9062,20387,15501,10772,8608,14054,20187,21585,14236,22182,19346,12856"
11728,"887207,662973,646847,455524,660889,550235,464626,229954,214265,370535,236489,211855,440780,632172,349853,521637,414990,296597,249866,244497,351588,251721,308967,272485,288992,8917,24599,310519,232438,311158,247235,297499,303669,11718,297635,297433,18632,21431,24598,21646,210283,10656,47623,18389,9310,23911,20431,270253,8845,10617,10582,21650,18675,16281,17944,20123,18655,9117,19264,19296,9062,20387,15501,10772,9042,8608,14054,20187,21585,14236,22182,19346,12856,13368"
9117,"18655,11728,19296,9062,20387,15501,10772,14054,14236,12856"
19264,"272485,288992,8917,232438,311158,303669,10617,18675,16281,17944,20123,18655,11728,22144,19296,9062,20387,15501,10772,8608,14054,20187,21585,14236,22182,12856"
22144,"20123,18655,19264,19296,9062,20387,15501,10772,8608,14054,21585,14236,22182,12856,13368"
19296,"24599,310519,232438,311158,247235,297499,303669,11718,297635,297433,18632,21431,24598,21646,210283,10656,47623,18389,9310,23911,20431,270253,8845,10617,10582,21650,18675,16281,17944,20123,18655,11728,9117,19264,22144,9062,20387,15501,10772,8608,14054,15555,20187,21585,14236,22182,19346,12856,13368"
9062,"244497,351588,251721,308967,272485,288992,8917,24599,310519,232438,311158,247235,297499,303669,11718,297635,297433,18632,21431,24598,21646,210283,10656,47623,18389,9310,20431,270253,8845,10617,10582,21650,18675,17944,20123,18655,11728,9117,19264,22144,19296,20387,15501,10772,9042,8608,15876,14054,15555,20187,21585,14236,22182,19346,12856,13368,21537"
20387,"297635,297433,18632,21431,24598,210283,47623,18389,9310,23911,20431,270253,8845,10617,10582,21650,18675,16281,17944,20123,18655,11728,9117,19264,22144,19296,9062,15501,10772,20040,9042,8608,15876,14054,15555,20187,21585,14236,22182,19346,12856,13368,9327,21537,14325"
15501,"16281,17944,20123,18655,11728,9117,19264,22144,19296,9062,20387,10772,20040,9042,8608,15876,14054,15555,21585,14236,22182,12856,13368,9327,21537,14325"
10772,"24598,21646,210283,10656,47623,18389,9310,23911,20431,8845,10617,10582,21650,18675,16281,17944,20123,18655,11728,9117,19264,22144,19296,9062,20387,15501,9042,15901,15522,8608,14054,20187,21585,14236,22182,19346,12856,13368,9327,21537,14325"
20040,"20387,15501,11724,15522,14054,21585,14236,22182,19346,12856,13368,9327,21537,14325"
11724,"20040,9042,15522,14054,21585,14236,22182,19346,13368,9327,21537,14325"
9042,"632172,521637,244497,308967,8917,232438,311158,247235,303669,297433,10617,11728,9062,20387,15501,10772,11724,15901,15522,8608,14054,15555,21585,14236,22182,19346,12856,13368,9327,21537,14325"
8476,"20242,15901,8608,21585,22182,12856,9327,9089,20372,14325"
20242,"8476,15901,8608,14054,21585,22182,12856,13368,9327,9089,21537,20372,14325"
15901,"10772,9042,8476,20242,8608,14054,21585,22182,19346,12856,13368,9327,9089,21537,20372,14325"
15522,"10772,20040,11724,9042,16975,8608,15876,14054,21585,14236,22182,19346,12856,13368,9327,21537,20372,14325"
16975,"15522,8608,15876,14054,21585,14236,22182,12856,13368,9327,13411,20372,14325"
