,id,matches
54,37740,"64088,64107,64133,64134,238181,238205,238207,300429,300430,300442,300443,296900,296901,296902,361758,361759,366705,366706,366628"
55,37701,64076
56,38111,"64074,64075,64076,64087,238206,238207,298793,298794"
57,37737,"64074,64075,64076,64086,64087,64088,64103,64104,64107,64108,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205,238206,238207,251485,251486,298793,298794,300429,300430,300442,300443,300444,296900,296901,296902,361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,567356,567357,569243,569244,569245,566921,566922,668949,668951,661679,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239"
58,37494,64068
59,38062,"64020,64021,64030,64031,64046,64067,64068,64074,64075,64076,64086,64087,64088,64103,64104,64107,64108,238205,238206,238207,251485,251486,298793,300429,300430,300442,300443,296900,296901,296902,361758,403378,403379"
60,38407,"63994,64020,64021,64030,64031,64046,64047,64067,64068,64074,64075,64076,64086,64087,64088,64103,64104,64107,64108,215253,216055,238180,238181,238182,238205,238206,238207,298793,298794"
61,37239,"63989,63993,63994,64020,64021,64030,64031,64046,64047,64067,64068"
62,36192,63983
63,36331,"63981,63982,63993,63994,64047,64067,64068,64103"
64,38714,"63955,63967,63968,63981,63982,63983,63989,63993,63994,64020,64021,64046,64047,64067,64068,64128,64129,64130,64133,64134,215253,216055,298794"
65,36326,"63954,63955,63967,63968,63993,63994,64020,64021,64030,64031,215253,216055,238180,238182,251485,251486,298793,423778"
66,36839,"63923,63968,63981,63982,63983"
67,37004,"63922,63924,64088,64103,64104,64108,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205,238206,238207,251485,251486,366705,366706,366628,386496,366629,473922,565817,565818,582192,567356"
68,37696,"63904,64104,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205"
69,38737,"63902,63903,63904,63912,63989"
70,37700,"63902,63903,63904,63912,63922,63923,63924,63955,63967,63982,63989,64075,64076,64086,64087,64088,64107,64108,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205,238206,238207,251485,251486,298793,298794,300429,300430,300442,300443,300444,296900,296901,296902,351679,351680,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,565817,567356"
71,38251,"63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63968,63981,63982,63983,63989,63993,63994,64020,64021,64030,64031,64046,64047,64067,64068,64074,64075,64076,64086,64087,64088,64103,64104,64107,64108"
72,38620,"63877,63902,63904,63922,63923,63924,63954,63983,63989,63993,64020,64021,64030,64031,64046,64047,64067,64068,64074,64075,64086,64087,423779,423780,423786,423789"
73,38393,"63869,63875,63876,63877,63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63968,64030,64031,64076,64103,64104,64107,64108,251485,251486,300429,300430,300442,300443,300444,423790"
74,38403,"63835,63836,63850,63868,63869"
75,36294,"63826,63827,63834,63842,63843,63844,63848,63849,63922,63923,63924,63953,63954,300429,300430,300442,300443,300444"
76,38753,"63801,63802,63803,63826,63827,63849,63850,63868,63875,63877,63896,63897,63912,63922,64030,64031,64046,64047,64074,64103,64104,64108,64130,64133,64134"
77,37712,"63769,63770,63771,63792,63793,63801,63802,63803,63826,63827,63834,63841,63842,63843,63844,63848,63849,63868,63869,63875,63876,63877,63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63968,63981,63982,63983,63989,63993,63994,64020,64021,64046,64047,64067,64068,64074,64075,64086,64088,64107,64128,64129"
78,38386,63765
79,38060,"63764,63765,63770,63771,63792,63802,63836,63844,63848,63869,63876,63877,63896,63897,63902,63903,63904,63912,63953"
80,37250,"63741,63750,63751,63764,63765,63771,63792,63793,63801,63802,63803,63826,63827,63834,63835,63836,63841,63842,63843,63844,63848,63849,63850,63868,63875,63876,63877,63896,63912,63968,63981,63982,63989,64030,64031"
