player,id,matches
47,39037,"426394,426395,426413,426414,426415,426416,461571,461572,473921,473922,489218,489219,523731,530424,530425,530426,538072,538073,531628,531629,531630,562444,562445,562446,567363,567364,567365,659555,659557,649087,649089,657651,745153,745155,727927,727929,742611,742613,742615,858493,858495,860263,860265,860267,902639,913641,913643,913645,913647,1050229,1050231,1050233,1019993,1019995,1000881,1000883,1000885,1077953,1077954,1077955,1120284,1120285,1127284,1119535,1119536,1157370,1157371,1157381,1157382,1157383,1144153,1144154,1144155,1183530,1183531,1206635,1206636,1213062,1198241,1198242,1198243,1233962,1233963,1243017,1243018,1257186,1257187,1263169,1263170,1277977,1277978,1288310,1288311,1288312"
48,227760,"406201,567363,567364,567365,657649,657651,745153,745155,727927,727929,742611,742613,742615,858493,858495,860263,860265,860267,902635,902637,902639,913641,913643,913645,913647,1050229,1050231,1050233,1019993,1019995,1000881,1000883,1000885,1077953,1077954,1077955,1120284,1120285,1127284,1119535,1119536,1157370,1157371,1157381,1157382,1157383,1144153,1144154,1144155"
49,317273,"423778,423779,423780,406199,406200,406201,426394,426395,426413,426414,426415,426416,461571,489218,489219,523731"
50,40250,"403368,403369,423778,1198242,1198243,1233962,1233963,1243017,1243018,1257186,1257187,1263169,1263170,1277977,1277978,1288310,1288311,1288312"
51,42699,"403367,403368,403369,423778,406199,426414,426415,426416,461571,489218,489219,523731,530424,530425,530426,538072,538073,531628,531629,531630,562444,562445,562446,567363,567364,567365,659555,659557,649087,649089,657647,657649,657651,745153,745155"
52,290948,"403367,403368,403369,423778,423779,423780,406199,406201,426394,426395,426413,426414,426415,426416,913641,913643,913645,913647,1050229,1050233,1019993,1019995,1000881,1000883,1000885,1077953,1077954,1077955,1120284,1120285,1127284,1119535,1119536,1144153,1144154,1144155"
53,39084,"403367,403368,406199"
54,227771,"388994,657651,745153,742615"
55,317252,"388993,523731,913645,913647,1050229,1050231,1019993,1019995,1000883"
56,41140,"388993,388994,403367,403368,403369,423778,406201,659555,659557,649087,649089,657647,657649,657651,745153,745155"
57,43654,"297808,388993,388994"
58,43265,"297806,297807"
59,39091,"299004,299005,461571,461572,473921,473922,489218,489219,530425,530426,538072,538073,531628,531629,531630,562444,562445,659555,659557,657651,745153,745155"
60,40591,238217
61,39956,209930
62,41411,"64115,233797,234783,238216,238217,225258,250665,250666,250667,299004,299005,423778,423779,423780,406199,406200,406201,426394,426395,426413,426414,426415,426416"
63,41452,"64113,64126"
64,42590,64106
