player,id,matches
81,9042,"64052,64056,64057,64058,64080,209929,210366,1029825,1034813"
82,8476,64041
83,20242,"64040,64041,64042"
84,15901,"64040,64041,64057,64058"
85,15522,"64033,64053,64056"
86,16975,"64032,64033,64038,64039"
87,8608,"64032,64033,64038,64039,64040,64041,64042,64058,64094,64095,64096,64119,238187,249222,249223,249226,258468,258469,258470,291222,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,902635,902637,902639,800463,800465,800467,913613,913615,913617,913643,913645,913647,1034811,1034813,1034815,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553,1140385,1140386,1158062,1158063,1158064,1152846,1185304,1185305,1225247,1225249,1198241,1198242,1198243,1243016,1243384,1243386,1243387,1249210,1249211,1239543,1239544,1239545,1239546,1263463,1263464,1263465"
88,15876,"63998,63999,64010,64011,64012,64013,64032,64033,64093,64094,64095,64096,64118,64119,64120"
89,14054,"63998,64010,64011,64012,64013,64032,64033,64038,64039,64040,64042,64052,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,221840,225443,226350,226351,239025,238186,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,291223,291224,300442,296912,361050,352661,390680,345973,345974"
90,15555,"63997,64009,64077,64078,64079,64080,64086,64093,64116,64117,64118,64120,209929,210366,213856,215010,215686,216994"
91,12877,"63961,63962,63963,63981,63982,63983,64012"
92,11848,"63961,63962,63963,64010,64011,64012,64013"
93,18265,"63940,63961"
94,8499,"63936,63939,63940"
95,22301,"63932,63933,63936,63937,63938"
96,20187,"63932,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296911,352661,352662,352663,387573"
97,21585,"63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,225264,225265,225266,225255,225256,225257,225258"
