player,matches
11728,"1119550,1119551,1119536,1119549,1119552,1119553,1119535,1115781,1072309,1072308,1072306,1072307,1115780,1031659,1031661,1031663,1072305,1031441,1031443,1034817,1031437,1031439,1034815,1034809,1034811,1034813,1029827,1029825,913641,913613,913615,913617,913643,913645,913647,800461,800463,800465,800467,902635,902637,902639,743939,743941,743963,743965,743969,743971,743967,667715,667717,667719,766929,766931,766933,667899,667901,667711,667713,592401,592398,592399,592400,566936,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,592397,565806,565807,565808,534226,534227,534205,534206,534207,521225,521226,426402,426401,426413,426414,426415,426416,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,426424,426423,428749,428750,428751,345974,387570,387571,387572,387573,428752,428753,534225,380712,380713,345971,345972,345973,352664,361050,361051,390680,352663,345970,296910,300442,300443,300444,296900,296901,296902,296909,296911,296912,291223,352661,352662,291222,291224,258468,258469,258470,258459,258460,258461,258462,225266,225264,225265,225256,225257,225258,249224,249225,249226,239025,238186,225255,249222,249223"
229954,"1119535,1115781,1072309,1072308,1072306,1072307,1115780,1031659,1031661,1031663,1072305"
296597,"1115781,1072309,1072308,1072306,1072307,1072305,913641,913613,913615,913617,913643,913645,913647"
660889,1072309
550235,"1072309,1072308"
214265,"1031659,1031661,1031663,1031441,1031443"
370535,"1031659,1031663,1031441,1031443"
414990,"1072305,1034817,1034815,913641"
211855,"1034817,1031437,1031439"
232438,"1031437,1031439,1029827,1029825,913641,913643,913645,913647,743939,743941,743963,743965,667715,667717,667719,766929,766931,766933,667899,667901,667711,667713,592401"
349853,"1034809,1034811,1029827"
521637,"1034809,1034811,1029827,1029825"
9042,"1034813,1029825,209929,210366,64080,64056,64057,64052,64058"
210283,"1029827,913641,913613,913615,913617,913645,913647,800461,800463,800465,743969,743971,743967,569243,569244,569245,566921,566922,566932,565808,534226,534227,534207,521226,426402,426401,426413,426414,426415,426416,474464,426424,426423,428749,428750,428751"
249866,"913641,913613,913615,913617,913643,913645,913647,800461,800463,800465,800467"
11718,"913613,913615,913617,800461,800463,800465,800467,565809,569243,569244,569245,566921,566922,565806,565807,565808"
297635,"800461,800463,800465,800467,902639,534226,534227"
9062,"902635,902637,902639,743939,743941,743963,743965,743969,743971,743967,667715,667717,667719,766929,766931,766933,667899,667901,667711,667713,592401,592398,592399,592400,566936,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,592397,565806,565808,534226,534227,534205,534206,534207,521225,521226,426402,426401,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,426424,426423,428749,428750,428751,345974,387570,387571,387572,387573,428752,428753,534225,345972,345973,361050,361051,296910,300442,300443,300444,296900,296901,296902,296909,296911,296912,291223,352661,291222,291224,258468,258469,258470,258459,258460,258461,258462,225256,225257,225258,249224,249225,249226,238187,239025,238186,225255,249222,249223,226351,225443,226350,213856,215010,215686,216994,218383,64096,209929,210366"
18632,"902639,565806,565807,565808,521225,521226"
251721,"743939,743941,743963,743965,743969,743971,743967"
272485,"667715,667717,667719,667899,667901,667711,667713"
288992,"667715,667717,667719,766929,766931,766933,667899,667901"
21646,"766929,426424"
47623,"766929,766931,766933,566936,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,592397,565806,565807,565808,534226,534227,534205,534206,534207,521225,521226,426402,426401,426413,426414,426415,426416,474463,474464,474465,474472,474473,531628,531629,531630,426424,426423,428749,428750,428751,345974,387570,387571,387572,387573,428752,428753,534225"
18675,"667899,667901,667711,667713,592398,592399,566936,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,592397,565806,565807,565808,534226,534227,534205,534206,534207,521225,521226,426402,426401,426413,426414,426415,426416,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,426424,426423,428749,428750,428751,345974,387570,387571,387572,387573,428752,428753,534225,380712,380713,345971,345972,345973,352664,361050,361051,390680,345970,291223,352661,352662,291222,291224,258468,258469,258470,258459,258460,258461,258462"
19264,"667899,667901,667711,667713,258459,258460,258461,225266,225264,225265,238186,225255,226351"
310519,592401
10656,"592401,592398,592399,592400,592397,426423"
19296,"592401,592398,592399,592400,566936,565809,569243,569244,566932,566933,566934,566935,592397,565806,565807,565808,534226,534205,534206,534207,521225,521226,426402,426401,426413,426414,426415,426416,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,426424,426423,428749,428750,428751,387570,387571,387572,387573,428752,428753,534225,380712,380713,345971,352664,361050,361051,390680,352663,345970,296910,300442,300443,300444,296900,296901,296902,296909,296911,296912,291223,352661,352662,291222,291224,258468,258469,258470,258459,258460,258461,258462,225266,225264,225265,225256,225257,225258,249224,249225,249226,238187,239025,238186,225255,249222,249223,226351,225443,226350,213856,215010,215686,216994,218383"
20431,"592398,592399,566936,565809,566921,566922,566932,566933,566934,566935,592397,565806,565807,565808,534227,534205,534206,534207,521225,521226,426402,426401,426413,426414,426415,426416,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,426424,426423,428749,428750,428751,345974,387570,387571,387572,387573,428752,428753,534225,380712,380713,345971,345972,345973,352664,361050,361051,390680,352663,345970"
18655,"592398,592400,565809,569243,569244,569245,565807,565808,521225,531629,531630,352664,361050,361051,345970,296910,300442,300443,300444,296900,296901,296902,296909,296911,296912,291223,352661,352662,291222,291224,258468,258469,258470,258459,258460,258461,258462,225266,225264,225265,225256,225257,225258,249224,249225,249226,238187,239025,238186,225255"
9310,"592399,592400,565809,566933,566934,566935,565806,534226,534205,534206,534207,521226,426401,474473,474474,474475,426424,426423,428752,428753,534225,380712,380713"
297499,566936
21650,"592397,474463,474464,474465,474472,531628,428751,428752,428753,258468,258469,258470"
20387,"534226,534227,534205,534206,534207,521225,521226,426402,426401,426413,426414,426415,426416,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,428749,428750,428751,345974,387570,387571,387572,387573,428752,428753,534225,380712,380713,345971,345972,345973,352664,361050,361051,390680,352663,345970,296910,300442,300443,300444,296900,296901,296902,296909,296911,296912,352661,352662,258468,258469,258470,258459,258460,258461,258462,225266,225264,225265,225256,225257,225258,249224,249225,249226,238187,239025,238186,225255,249222,249223,225443,226350,213856,215010,215686,216994,218383,64096,209929,210366,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120"
18389,"534207,387570,387571,387572,380712,380713,345971,345972,345973"
21431,426402
24598,"426402,426401,426413,426414,426415,426416,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630"
10772,"426413,426414,426415,426416,426424,426423,428749,428750,428751,345974,387570,387571,387572,387573,428752,428753,380712,380713,345971,345972,345973,352664,361050,361051,390680,352663,345970,300442,300443,300444,296900,296901,296902,296909,296911,296912,291223,352661,352662,291222,291224,258468,258469,258470,258459,258460,258461,258462,225266,225264,225265,225256,225257,225258,249224,249225,249226,238187,239025,238186,225255,249222,249223,226351,225443,218383,64056,64057"
10582,"474474,474475,534225,380712,380713,345971,345972,345973,352663,345970,291223,291222,291224"
14054,"345974,345973,361050,390680,300442,296912,291223,352661,291224,258459,258460,258461,258462,225256,225257,225258,249224,249225,249226,239025,238186,225255,249222,249223,226351,225443,226350,213856,215010,215686,216994,218383,64096,209929,210366,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,64080,64052,64040,64042,64033,64032,64038,64039,63998,64010,64011,64012,64013,64077,64078,64079"
12856,"345974,345971,345972,361050,361051,390680,345970,296910,296911,296912,352661,352662,225266,225264,225265,249224,249225,249226,238187,239025,238186,249222,249223,226351,225443,226350,213856,215010,215686,216994,218383,64096,209929,210366,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,64080,64056,64057,64058,64041,64040,64042,64038,64039,63998,63999,64077,64078,64079,63997,63961,63962,63963,63981,63982,63983,63990,63991,63992,63883,63884,63860,63861,63863,63862,63888,63807,63808"
20187,"387573,352663,300442,300443,300444,296900,296901,296902,296909,296911,291223,352661,352662,291222,291224,258468,258469,258470,258460,258461,258462,63932"
23911,352664
20123,"352664,390680,352663,352662,258459,238187"
8845,"352663,296910,300442,300443,300444,296900,296901,296902,296909,296911,296912"
270253,296910
22182,"296910,300442,300443,300444,296900,296901,296902,296909,296911,291223,291222,291224,258468,258469,258470,258460,258461,258462,226351,226350,213856,215010,215686,216994,218383,64096,209929,210366,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,64080,64056,64057,64053,64052,64058,64041,64040,64042,64033,64032,64038,64039,63998,63999,64010,64011,64012,64013,64077,64078,64079,63997,64009,63962,63963,63981,63982,63983,63932,63933,63890,63891,63892,63918,63990,63991,63992,64000,63889,63860,63861,63863,63864"
14236,"300442,291222,291224,258459,258462,225266,225264,225265,225256,225257,225258,249224,249225,238187,239025,238186,225255,249222,249223,226351,225443,226350,213856,215010,215686,216994,218383,64096,209929,210366,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,64080,64056,64053,64052,64032,63998,63999,64010,64013,64077,64078,64079,63997,64009,63961,63962,63963,63981,63982,63983,63933,63990,63991,63992,64000,63889"
16281,225266
15501,"225266,225264,225265,225256,249224,238187,239025,238186,225255,249222,249223,226351,225443,226350,213856,215010,215686,216994,218383,64096,209929,210366,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,64080"
