,0
64095,"20387,15501,8608,15876,14054,21585,14236,22182,12856,13368,21537"
64116,"20387,15501,14054,15555,21585,14236,22182,12856,13368,9327,21537"
64117,"20387,15501,14054,15555,21585,14236,22182,12856,13368,9327,21537"
64118,"20387,15501,15876,14054,15555,21585,14236,22182,12856,13368,21537"
64119,"20387,15501,8608,15876,14054,21585,14236,22182,12856,13368,21537"
64120,"20387,15501,15876,14054,15555,21585,14236,22182,12856,13368,21537"
64080,"15501,9042,14054,15555,21585,14236,22182,12856,9327,21537,14325"
64056,"10772,9042,15522,21585,14236,22182,19346,12856,13368,9327,21537"
64057,"10772,9042,15901,21585,22182,19346,12856,13368,9327,21537,14325"
64053,"20040,11724,15522,21585,14236,22182,19346,13368,9327,21537,14325"
64052,"11724,9042,14054,21585,14236,22182,19346,13368,9327,21537,14325"
64058,"9042,15901,8608,21585,22182,19346,12856,13368,9327,21537,14325"
64041,"8476,20242,15901,8608,21585,22182,12856,9327,9089,20372,14325"
64040,"20242,15901,8608,14054,21585,22182,12856,13368,9327,20372,14325"
64042,"20242,8608,14054,21585,22182,12856,13368,9327,9089,21537,20372"
64033,"15522,16975,8608,15876,14054,21585,22182,13368,9327,20372,14325"
64032,"16975,8608,15876,14054,21585,14236,22182,13368,9327,20372,14325"
64038,"16975,8608,14054,21585,22182,12856,13368,9327,13411,20372,14325"
64039,"16975,8608,14054,21585,22182,12856,13368,9327,13411,20372,14325"
63998,"15876,14054,14236,22182,12856,9327,10816,10870,22403,20372,14325"
63999,"15876,14236,22182,21607,12856,13368,9327,10870,10633,20372,14325"
64010,"15876,14054,11848,21585,14236,22182,9327,22403,10633,20372,14325"
64011,"15876,14054,11848,21585,22182,21607,9327,20193,22403,20372,14325"
64012,"15876,14054,12877,11848,21585,22182,9327,10870,22403,10633,14325"
64013,"15876,14054,11848,21585,14236,22182,9327,10870,10633,20372,14325"
64077,"14054,15555,21585,14236,22182,19346,12856,13368,9327,21537,14325"
64078,"14054,15555,21585,14236,22182,19346,12856,13368,9327,21537,14325"
64079,"14054,15555,21585,14236,22182,19346,12856,13368,9327,21537,14325"
63997,"15555,14236,22182,12856,13368,9327,10870,22403,21537,20372,14325"
64009,"15555,21585,14236,22182,13368,9327,10870,22403,10633,20372,14325"
63961,"12877,11848,18265,21585,14236,12856,9327,22403,21537,19323,14325"
63962,"12877,11848,21585,14236,22182,12856,13368,9327,22403,19323,14325"
63963,"12877,11848,21585,14236,22182,12856,13368,9327,22403,19323,14325"
63981,"12877,21585,14236,22182,12856,13368,9327,21537,10633,19323,14325"
63982,"12877,21585,14236,22182,12856,13368,9327,21537,10633,19323,14325"
63983,"12877,21585,14236,22182,12856,13368,9327,21537,10633,19323,14325"
63940,"18265,8499,21585,9327,13411,10633,19323,21611,20372,14325,8579"
63936,"8499,22301,21585,13368,9327,13411,22403,10633,20372,14325,8579"
63939,"8499,21585,21607,9327,17121,13411,10633,19323,20372,14325,8579"
63932,"22301,20187,21585,22182,10816,13411,21537,10633,20372,14325,8579"
63933,"22301,21585,14236,22182,15913,10816,13411,21537,10633,20372,8579"
63937,"22301,21585,9327,10816,13411,22403,21537,10633,19323,20372,8579"
63938,"22301,21585,21607,9327,10881,13411,22403,10633,19323,20372,8579"
63890,"21585,22182,10881,10816,13411,22403,21537,10633,20372,14325,8579"
63891,"21585,22182,10816,13411,22403,21537,10633,14187,20372,14325,8579"
63892,"21585,22182,10816,13411,22403,21537,10633,14187,20372,14325,8579"
63899,"21585,13368,13411,22403,21537,10633,20051,14187,20372,14325,8579"
63900,"21585,13368,13411,22403,21537,10633,20051,14187,20372,14325,8579"
63901,"21585,13368,13411,22403,21537,10633,20051,14187,20372,14325,8579"
63916,"21585,13368,10881,13411,22403,21537,10633,14187,20372,14325,8579"
63917,"21585,13368,10881,13411,22403,21537,10633,14187,20372,14325,8579"
63918,"21585,22182,13368,10881,13411,22403,21537,10633,20372,14325,8579"
63990,"21585,14236,22182,12856,9327,10816,10870,21537,10633,20372,14325"
63991,"21585,14236,22182,21607,12856,13368,9327,21537,10633,20372,14325"
63992,"21585,14236,22182,21607,12856,13368,9327,21537,10633,20372,14325"
64000,"21585,14236,22182,21607,13368,9327,10816,10870,10633,20372,14325"
63889,"14236,22182,15913,10816,13411,22403,10633,19323,14187,20372,8579"
63883,"20073,13362,12856,15913,13411,10633,19323,14187,20372,14325,8579"
63884,"20073,13362,12856,15913,13411,10633,19323,14187,20372,14325,8579"
63860,"22182,14020,8487,12856,9327,17121,13411,10633,20372,14325,8579"
63861,"22182,8487,12856,9327,20193,13411,10633,21611,20372,14325,8579"
63863,"22182,8487,12856,9327,20193,13411,10633,21611,20372,14325,8579"
63864,"22182,8487,16876,9327,20193,17121,13411,10633,20372,14325,8579"
63862,"8487,16876,12856,9327,20193,13411,10633,21611,20372,14325,8579"
63844,"16876,13362,17121,15403,21537,10633,19323,21611,20372,14325,8579"
63888,"13362,12856,10881,15913,13411,10633,19323,14187,20372,14325,8579"
63841,"19346,13985,21607,9327,17121,21537,10633,19323,21611,20372,14325"
63842,"19346,13985,14127,9327,17121,21537,10633,19323,21611,20372,14325"
63843,"19346,14127,9327,21537,20404,10633,19323,14187,21611,20372,8579"
63817,"14149,14127,9327,17121,13411,19323,14187,20372,14325,8579,12909"
63818,"14149,21607,14127,9327,10870,13411,20404,19323,14187,20372,14325"
63815,"21607,9327,17121,10816,10870,13411,19323,14187,20372,14325,8579"
63807,"12856,9327,10816,13411,20051,19323,14187,20372,14325,8579,12909"
63808,"12856,9327,10816,13411,20051,19323,14187,20372,14325,8579,12909"
63806,"13368,10881,15913,10816,13411,21537,19323,20372,14325,8579,12909"
63805,"15477,14127,10881,12466,10816,21537,19323,20372,14325,8579,12909"
63809,"15477,14246,9327,10816,10870,13411,20051,19323,14187,20372,12909"
63758,"14246,14244,14127,10881,10870,21537,10633,20372,14325,16885,8579"
63759,"14244,9327,16925,21537,10633,19323,21611,20372,14325,16885,8579"
63783,"14244,14127,9327,10870,21537,10633,21611,20372,14325,8579,12909"
63784,"14244,14127,10870,21537,10633,21611,20372,14325,8579,12909,19500"
63757,"20224,14127,9327,10881,12466,10870,13411,21537,20372,14325,8579"
63756,"14127,9327,10881,12466,10870,13411,21537,10633,20372,14325,8579"
63785,"14127,9327,10870,21537,10633,21611,20372,14325,8579,12909,19500"
63786,"14127,9327,10881,21537,19323,21611,20372,14325,8579,12909,19500"
63787,"14127,9327,21537,10633,19323,21611,20372,14325,8579,12909,19500"
63788,"14127,9327,21537,10633,19323,21611,20372,14325,8579,12909,19500"
63816,"14127,9327,17121,10870,13411,20404,19323,14187,20372,14325,8579"
63754,"9327,10881,12466,10870,13411,21537,10633,20372,14325,16885,8579"
63755,"9327,10881,12466,10870,13411,21537,10633,20372,14325,16885,8579"
63804,"9327,10881,12466,10816,13411,21537,19323,20372,14325,8579,12909"
63814,"9327,10881,17121,10816,13411,21537,19323,20372,14325,8579,12909"
63734,"20193,10881,17121,15913,10870,13411,21537,21611,20372,14325,8579"
63718,"10881,17121,15913,10816,10870,21537,20051,16274,20372,14325,8579"
63735,"10881,17121,15913,10870,13411,22403,21537,21611,20372,14325,8579"
63740,"10881,15913,10816,10870,13411,21537,10633,21611,20372,14325,8579"
63741,"10881,15913,10816,10870,13411,21537,10633,21611,20372,14325,8579"
63716,"9269,12466,17121,15913,10816,21537,20051,14187,20372,8579,19500"
63715,"12466,18458,17121,10816,21537,14187,16274,20372,14325,8579,19500"
63713,"18458,17121,15403,15913,10816,21537,14187,16274,14325,8579,19500"
63714,"17121,15403,10816,16925,21537,14187,16274,20372,14325,8579,19500"
63717,"17121,15913,10816,10870,21537,10633,16274,20372,14325,8579,19500"
63739,"17121,15913,10816,10870,13411,22403,21537,21611,20372,14325,8579"
63689,"22361,22328,13324,10816,10870,21537,14187,16885,8579,12909,19500"
63687,"22328,15913,10816,10870,22403,21537,8579,12909,19500,20263,12514"
63688,"22328,15913,10816,10870,22403,21537,15383,14187,8579,12909,19500"
63704,"22328,10816,16925,21537,14187,20372,16885,8579,12909,19500,20263"
63686,"13324,10816,16925,13411,21537,15383,14187,20372,8579,12909,20263"
63703,"13324,10816,16925,21537,15388,15383,14187,20372,8579,19500,20263"
63685,"10816,16925,13411,21537,15383,19323,14187,20372,8579,12909,20263"
63700,"10816,13411,21537,15383,19323,14187,20372,8579,12909,19500,20263"
63701,"10816,13411,21537,19323,14187,20372,16885,8579,12909,19500,20263"
63702,"10816,16925,10870,21537,15388,15383,14187,20372,8579,19500,20263"
63684,"16925,13411,21537,15383,19323,14187,20372,16885,8579,20263,11865"
63651,"9069,10870,13411,19374,21537,14187,20372,16885,8579,11865,13399"
63649,"10870,13411,22403,19374,20051,14187,20372,8579,12909,11865,13399"
63650,"10870,13411,19374,21537,14187,21611,20372,8579,12909,11865,13399"
63665,"10870,13411,19374,21537,14187,21611,16885,8579,12909,13340,13399"
63666,"10870,19374,21537,21611,16274,16885,8579,12909,11865,13340,13399"
63667,"10870,19374,21537,19323,16274,16885,8579,12909,11865,13340,13399"
63648,"13411,22403,19374,20404,14187,20372,8579,12909,20263,11865,13399"
63663,"13411,19374,21537,16959,14187,21611,20372,8579,11865,13340,13399"
63664,"13411,19374,21537,14187,21611,20372,16885,8579,11865,13340,13399"
63646,"22403,19374,20404,14187,20372,16885,8579,12909,20263,11865,13399"
63647,"22403,19374,20404,21484,14187,20372,8579,12909,20263,11865,13399"
63612,"9089,21537,16959,16212,15388,10633,20372,14325,8579,20263,13399"
63613,"9089,21537,15388,20404,20372,14325,8579,16951,20263,12514,13399"
63611,"21537,16959,16212,15388,20404,10633,20372,14325,8579,20263,13399"
63637,"21537,10633,14187,16274,20372,15380,16885,8579,19500,16951,20263"
63638,"21537,20051,19323,14187,16274,20372,15380,8579,12909,19500,20263"
63639,"21537,10633,20051,19323,14187,16274,20372,8579,12909,19500,20263"
63640,"21537,10633,19323,14187,21611,16274,20372,8579,12909,19500,20263"
63641,"21537,10633,19323,14187,21611,16274,20372,8579,12909,19500,20263"
63609,"20404,10633,14187,21611,16274,20372,8579,20263,11865,13340,13399"
63610,"20404,10633,14187,21611,16274,20372,8579,20263,12879,13340,13399"
63614,"20404,22333,19323,14187,20372,14325,16885,8579,12909,16951,13399"
63599,"9121,20051,14187,21611,16274,20372,16885,20263,15485,12803,13340"
63600,"9121,14187,21611,16274,20372,8579,20263,11865,12514,13340,13399"
63598,"21484,20051,14187,16274,20372,16885,20263,15485,12803,13340,13399"
63578,"16886,17125,19323,14187,16274,20372,8579,20263,18627,13418,13399"
63579,"16886,19323,21611,16274,20372,16885,8579,20263,18627,13418,13399"
63577,"17125,20051,14187,16274,20372,16885,8579,19500,20263,13418,13399"
63576,"20051,14187,16274,20372,16885,19500,20263,11865,16178,9163,13399"
63571,"19364,14187,21611,16274,20372,19500,20263,11865,18627,16178,13399"
63572,"19364,14187,21611,16274,20372,19500,20263,11865,18627,16178,13399"
63573,"19364,14187,21611,20372,19500,16219,20263,11865,16178,9163,13399"
63560,"17099,15383,19323,14187,16274,8579,19500,11865,18627,16178,13399"
63561,"17099,19323,21611,16274,20372,8579,16219,20263,11865,9163,13399"
63562,"17099,19323,21611,16274,20372,19500,16219,20263,11865,9163,13399"
63559,"15383,19323,14187,8579,19500,16219,20263,11865,18627,16178,13399"
63557,"22333,19323,14187,16885,8579,19500,20263,11865,18627,16178,13399"
63558,"22333,19323,14187,16885,8579,19500,20263,11865,18627,16178,13399"
